seen_webtoon,recom_webtoon,cosine_sim
1,257,0.9675150744529531
1,143,0.951909635245366
1,740,0.9495775278658688
1,82,0.9411065037949894
1,378,0.9407725073529296
1,48,0.9384013014139114
1,384,0.9360545125820644
1,1124,0.9357246820479336
1,53,0.934801855908021
2,105,0.95680009830307
2,1129,0.9379249697475044
2,254,0.937350370122596
2,1056,0.9303663344045652
2,625,0.9302052518585712
2,860,0.9267220865659694
2,511,0.9264027267793074
2,1291,0.9241629843777308
2,768,0.9224939025934772
3,89,0.8774887970615692
3,135,0.8632678085836004
3,134,0.8629838883621038
3,36,0.8220339317747282
3,112,0.8160071698064238
3,150,0.809577374239192
3,457,0.8038924450048895
3,407,0.79678734433948
3,65,0.7842941480639244
4,123,0.9651973569954134
4,20,0.9634031540006918
4,774,0.9599726972278
4,1443,0.9596865285828746
4,12,0.9483687963689242
4,246,0.938564288582623
4,161,0.9374248191549706
4,11,0.934995180246122
4,260,0.9330140761925514
5,38,0.979250273052795
5,27,0.9742844339147976
5,715,0.9722576501434548
5,46,0.9693694062491648
5,975,0.9676636661678912
5,153,0.966776302922475
5,200,0.9648130761101064
5,1065,0.9627624117887276
5,651,0.9622976742186368
6,37,0.9775443665650017
6,905,0.9604486268713656
6,31,0.9559042176607834
6,868,0.952429454981202
6,354,0.9415727488526277
6,64,0.9408899754673752
6,900,0.9355306532345072
6,104,0.9327439794326968
6,556,0.9296260577652214
7,53,0.9702336514021968
7,22,0.962406793114809
7,499,0.9604232357186184
7,432,0.9596734338134468
7,271,0.958799745952076
7,265,0.9560263251183831
7,391,0.9558416630047548
7,754,0.954393801302206
7,54,0.9540819540868466
8,47,0.9526369815361432
8,134,0.8888594844456976
8,110,0.8765878977236452
8,127,0.8619319026423667
8,74,0.8517683065146087
8,457,0.850219038536461
8,135,0.8499149033909683
8,584,0.8260590376034824
8,150,0.8130656630513285
9,719,0.9707260614437406
9,456,0.9703742963027162
9,619,0.9684476309278336
9,176,0.9662285364276092
9,477,0.9634784814605412
9,238,0.9575002890981236
9,625,0.9543434462108588
9,1242,0.9495677320947216
9,129,0.9414841647845928
10,16,0.9664949257890804
10,913,0.9573495153675752
10,38,0.9533532610355988
10,1475,0.9514658921357364
10,153,0.9512601077423822
10,412,0.951023159335756
10,1065,0.9477771130525284
10,5,0.9472591613690604
10,1058,0.9464992952455292
11,246,0.974475215938782
11,1170,0.9715928290123188
11,232,0.97090306855234
11,453,0.9698160794452348
11,908,0.9686090513129828
11,86,0.9684112749302268
11,102,0.9674002323853744
11,970,0.9669422577756832
11,616,0.9668271994984006
12,20,0.9625066502354616
12,1328,0.955724571079648
12,774,0.9520026688735972
12,4,0.9483687963689242
12,113,0.9441288218596124
12,1443,0.9419055303213326
12,102,0.939003187822668
12,1006,0.9371376724474374
12,693,0.9369994413684806
